step,gs0,gs1,gs2,
1005,963,960,961,
1006,963,960,961,
1007,963,960,961,
1008,963,960,961,
1009,963,960,961,
1010,963,960,961,
1011,964,960,961,
1012,964,960,961,
1013,963,960,961,
1014,963,960,961,
1015,963,960,961,
1016,963,960,961,
1017,963,960,961,
1018,963,960,961,
1019,963,960,961,
1020,963,960,961,
1021,963,960,962,
1022,963,960,962,
1023,963,960,961,
1024,963,960,961,
1025,963,960,961,
1026,963,960,961,
1027,963,960,961,
1028,963,960,961,
1029,962,959,961,
1030,962,959,961,
1031,962,959,960,
1032,962,959,960,
1033,962,959,961,
1034,962,959,961,
1035,963,959,961,
1036,963,959,961,
1037,962,959,961,
1038,962,959,961,
1039,962,960,960,
1040,962,960,960,
1041,962,959,961,
1042,962,959,961,
1043,963,960,962,
1044,963,960,962,
1045,962,959,962,
1046,962,959,962,
1047,962,960,961,
1048,962,960,961,
1049,962,960,961,
1050,962,959,961,
1051,962,959,961,
1052,962,960,961,
1053,962,960,961,
1054,962,960,962,
1055,962,960,962,
1056,962,959,961,
1057,962,959,961,
1058,962,959,962,
1059,962,959,962,
1060,962,959,961,
1061,962,959,961,
1062,962,959,960,
1063,962,959,960,
1064,962,959,960,
1065,962,959,960,
1066,963,960,961,
1067,963,960,961,
1068,963,959,961,
1069,963,959,961,
1070,963,960,961,
1071,963,960,961,
1072,963,959,962,
1073,963,959,962,
1074,963,960,961,
1075,963,960,961,
1076,963,960,961,
1077,963,960,961,
1078,963,960,962,
1079,963,960,962,
1080,963,960,961,
1081,963,960,961,
1082,963,960,961,
1083,963,960,961,
1084,963,960,961,
1085,963,960,961,
1086,963,960,961,
1087,963,960,961,
1088,963,960,961,
1089,963,960,962,
1090,963,960,962,
1091,963,960,961,
1092,963,960,961,
1093,963,960,961,
1094,963,960,961,
1095,963,961,962,
1096,963,961,962,
1097,963,960,962,
1098,963,960,962,
1099,963,961,962,
1100,963,961,962,
1101,963,960,961,
1102,963,960,961,
1103,962,960,961,
1104,962,960,961,
1105,957,955,954,
1106,957,955,954,
1107,947,942,945,
1108,947,942,945,
1109,949,942,946,
1110,949,942,946,
1111,957,956,957,
1112,957,956,957,
1113,963,960,961,
1114,963,960,961,
1115,963,961,961,
1116,963,961,961,
1117,961,958,960,
1118,961,958,960,
1119,963,960,962,
1120,963,960,962,
1121,963,960,961,
1122,963,959,961,
1123,963,959,961,
1124,963,960,962,
1125,963,960,962,
1126,963,960,961,
1127,963,960,961,
1128,964,961,962,
1129,964,961,962,
1130,963,960,961,
1131,963,960,961,
1132,963,960,961,
1133,963,960,961,
1134,963,961,962,
1135,963,961,962,
1136,963,961,962,
1137,963,961,962,
1138,963,960,962,
1139,963,960,962,
1140,963,961,961,
1141,963,961,961,
1142,963,961,962,
1143,963,961,962,
1144,963,960,962,
1145,963,960,962,
1146,963,960,962,
1147,963,960,962,
1148,963,960,961,
1149,963,960,961,
1150,963,960,962,
1151,963,960,962,
1152,963,960,961,
1153,963,960,961,
1154,962,959,961,
1155,962,959,961,
1156,961,958,960,
1157,961,958,960,
1158,963,959,961,
1159,963,959,961,
1160,964,960,961,
1161,964,960,961,
1162,960,958,960,
1163,960,958,960,
1164,952,949,954,
1165,952,949,954,
1166,948,940,948,
1167,948,940,948,
1168,948,940,948,
1169,948,940,948,
1170,948,940,948,
1171,947,940,947,
1172,947,940,947,
1173,948,940,948,
1174,948,940,948,
1175,948,940,948,
1176,948,940,948,
1177,948,940,947,
1178,948,940,947,
1179,948,940,947,
1180,948,940,947,
1181,948,940,947,
1182,948,940,947,
1183,948,940,947,
1184,948,940,947,
1185,948,940,947,
1186,948,940,947,
1187,948,939,946,
1188,948,939,946,
1189,955,944,949,
1190,955,944,949,
1191,961,956,958,
1192,961,956,958,
1193,963,959,962,
1194,963,959,962,
1195,963,960,962,
1196,963,960,962,
1197,963,960,962,
1198,963,960,962,
1199,963,961,962,
1200,963,961,962,
1201,963,961,961,
1202,963,961,961,
1203,964,960,962,
1204,964,960,962,
1205,963,960,962,
1206,964,961,961,
1207,964,961,961,
1208,963,961,962,
1209,963,961,962,
1210,964,960,961,
1211,964,960,961,
1212,964,960,961,
1213,964,960,961,
1214,964,961,962,
1215,964,961,962,
1216,963,960,961,
1217,963,960,961,
1218,963,960,962,
1219,963,960,962,
1220,964,961,962,
1221,964,961,962,
1222,963,960,962,
1223,963,960,962,
1224,963,960,961,
1225,963,960,961,
1226,963,961,961,
1227,963,961,961,
1228,962,959,962,
1229,962,959,962,
1230,962,959,961,
1231,962,959,961,
1232,958,956,956,
1233,958,956,956,
1234,955,952,955,
1235,955,952,955,
1236,955,953,954,
1237,955,953,954,
1238,958,956,959,
1239,958,956,959,
1240,964,961,962,
1241,964,961,962,
1242,964,961,962,
1243,964,961,962,
1244,963,961,962,
1245,963,960,962,
1246,963,960,962,
1247,964,961,962,
1248,964,961,962,
1249,963,960,962,
1250,963,960,962,
1251,963,960,962,
1252,963,960,962,
1253,963,960,962,
1254,963,960,962,
1255,963,961,962,
1256,963,961,962,
1257,963,961,962,
1258,963,961,962,
1259,963,960,962,
1260,963,960,962,
1261,963,960,962,
1262,963,960,962,
1263,964,960,961,
1264,964,960,961,
1265,963,960,962,
1266,963,960,962,
1267,964,961,962,
1268,964,961,962,
1269,964,961,962,
1270,964,961,962,
1271,964,960,962,
1272,964,960,962,
1273,963,961,962,
1274,963,961,962,
1275,963,961,962,
1276,963,961,962,
1277,964,961,962,
1278,964,961,962,
1279,963,959,963,
1280,963,959,963,
1281,964,961,962,
1282,964,961,962,
1283,964,961,962,
1284,963,961,961,
1285,963,961,961,
1286,964,961,961,
1287,964,961,961,
1288,963,960,961,
1289,963,960,961,
1290,962,960,960,
1291,962,960,960,
1292,963,960,962,
1293,963,960,962,
1294,963,960,961,
1295,963,960,961,
1296,958,956,961,
1297,958,956,961,
1298,949,943,952,
1299,949,943,952,
1300,945,928,945,
1301,945,928,945,
1302,945,926,943,
1303,945,926,943,
1304,945,929,943,
1305,945,929,943,
1306,945,929,943,
1307,945,929,943,
1308,945,930,943,
1309,945,930,943,
1310,945,929,943,
1311,945,929,943,
1312,945,930,945,
1313,945,930,945,
1314,945,929,943,
1315,945,929,943,
1316,945,930,943,
1317,945,930,943,
1318,945,929,943,
1319,945,929,943,
1320,945,930,943,
1321,945,930,943,
1322,945,932,945,
1323,956,949,951,
1324,956,949,951,
1325,963,958,957,
1326,963,958,957,
1327,962,960,960,
1328,962,960,960,
1329,963,959,961,
1330,963,959,961,
1331,963,960,961,
1332,963,960,961,
1333,963,960,962,
1334,963,960,962,
1335,963,960,961,
1336,963,960,961,
1337,963,961,962,
1338,963,961,962,
1339,963,960,961,
1340,963,960,961,
1341,964,961,962,
1342,964,961,962,
1343,964,961,962,
1344,964,961,962,
1345,963,961,961,
1346,963,961,961,
1347,964,961,962,
1348,964,961,962,
1349,964,961,962,
1350,964,961,962,
1351,964,961,961,
1352,964,961,961,
1353,964,961,962,
1354,964,961,962,
1355,964,961,962,
1356,964,961,962,
1357,964,961,962,
1358,964,961,962,
1359,963,961,962,
1360,963,961,962,
1361,964,961,962,
1362,964,961,962,
1363,963,960,961,
1364,961,958,959,
1365,961,958,959,
1366,956,956,956,
1367,956,956,956,
1368,954,950,952,
1369,954,950,952,
1370,950,945,949,
1371,950,945,949,
1372,947,944,948,
1373,947,944,948,
1374,953,949,951,
1375,953,949,951,
1376,959,957,957,
1377,959,957,957,
1378,963,961,961,
1379,963,961,961,
1380,964,961,962,
1381,964,961,962,
1382,964,960,962,
1383,964,960,962,
1384,964,961,962,
1385,964,961,962,
1386,963,962,963,
1387,963,962,963,
1388,964,961,962,
1389,964,961,962,
1390,964,961,962,
1391,964,961,962,
1392,963,961,962,
1393,963,961,962,
1394,963,961,962,
1395,963,961,962,
1396,964,961,961,
1397,964,961,961,
1398,963,961,962,
1399,963,961,962,
1400,964,961,962,
1401,964,961,962,
1402,964,961,961,
1403,964,961,961,
1404,963,961,961,
1405,964,961,961,
1406,964,961,961,
1407,964,961,962,
1408,964,961,962,
1409,963,960,961,
1410,963,960,961,
1411,965,961,962,
1412,965,961,962,
1413,964,961,962,
1414,964,961,962,
1415,963,961,962,
1416,963,961,962,
1417,963,961,962,
1418,963,961,962,
1419,963,961,962,
1420,963,961,962,
1421,963,960,961,
1422,963,960,961,
1423,963,961,961,
1424,963,961,961,
1425,964,961,962,
1426,964,961,962,
1427,963,961,961,
1428,963,961,961,
1429,963,961,962,
1430,963,961,962,
1431,963,961,961,
1432,963,961,961,
1433,963,961,961,
1434,963,961,961,
1435,963,961,961,
1436,963,961,961,
1437,963,961,961,
1438,963,961,961,
1439,964,960,961,
1440,964,960,961,
1441,964,960,962,
1442,964,960,962,
1443,963,960,962,
1444,963,960,961,
1445,963,960,961,
1446,963,961,962,
1447,963,961,962,
1448,963,961,961,
1449,963,961,961,
1450,964,960,961,
1451,964,960,961,
1452,963,959,962,
1453,963,959,962,
1454,963,960,961,
1455,963,960,961,
1456,963,960,961,
1457,963,960,961,
1458,963,960,961,
1459,963,960,961,
1460,964,961,961,
1461,964,961,961,
1462,963,961,961,
1463,963,961,961,
1464,963,961,961,
1465,963,961,961,
1466,964,961,961,
1467,964,961,961,
1468,963,961,961,
1469,963,961,961,
1470,963,959,961,
1471,963,959,961,
1472,965,961,962,
1473,965,961,962,
1474,964,961,961,
1475,964,961,961,
1476,963,960,961,
1477,963,960,961,
1478,963,961,960,
1479,963,961,960,
1480,963,961,961,
1481,963,961,961,
1482,964,961,961,
1483,963,961,962,
1484,963,961,962,
1485,963,960,961,
1486,963,960,961,
1487,964,961,961,
1488,964,961,961,
1489,963,959,961,
1490,963,959,961,
1491,963,960,961,
